NAME                     INSTALLED                        FIXED IN                                             TYPE            VULNERABILITY        SEVERITY    EPSS          RISK
python                   3.11.10                          3.9.23, 3.10.18, *3.11.13, 3.12.11, ...              UnknownPackage  CVE-2025-4138        High        1.1% (63rd)   0.9
python                   3.11.10                          3.9.22, 3.10.17, *3.11.12, 3.12.9, ...               UnknownPackage  CVE-2025-0938        Medium      1.5% (71st)   0.8
openssl                  3.3.2                            1.0.2zp, 1.1.1zg, 3.0.20, *3.3.7, 3.4.5, ...         UnknownPackage  CVE-2026-28388       High        1.1% (61st)   0.8
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-49502       Medium      1.5% (72nd)   0.8
openssl                  3.3.2                            1.0.2zp, 1.1.1zg, 3.0.20, *3.3.7, 3.4.5, ...         UnknownPackage  CVE-2026-28389       High        1.0% (60th)   0.8
openssl                  3.3.2                            1.0.2zp, 1.1.1zg, 3.0.20, *3.3.7, 3.4.5, ...         UnknownPackage  CVE-2026-28390       High        1.0% (60th)   0.8
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-48434       Medium      1.5% (71st)   0.8
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3109        Medium      1.4% (70th)   0.7
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-42009       Medium      1.3% (68th)   0.7
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
