NAME                     INSTALLED                        FIXED IN                                             TYPE            VULNERABILITY        SEVERITY    EPSS          RISK
libzvbi-common           0.2.35-19                        (won't fix)                                          deb             CVE-2025-2176        Medium      0.6% (45th)   0.3
libzvbi0                 0.2.35-19                        (won't fix)                                          deb             CVE-2025-2176        Medium      0.6% (45th)   0.3
python                   3.11.10                          *3.13.14, 3.14.5rc1, 3.15.0b1                        UnknownPackage  CVE-2026-1502        Medium      0.6% (43rd)   0.3
ffmpeg                   8.0.1                                                                                 UnknownPackage  CVE-2026-30998       High        0.4% (32nd)   0.3
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.25                                    deb             CVE-2026-42766       Low         1.0% (59th)   0.3
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.25                                    deb             CVE-2026-42766       Low         1.0% (59th)   0.3
python                   3.11.10                          *3.13.13, 3.14.4, 3.15.0a8                           UnknownPackage  CVE-2026-3644        High        0.4% (34th)   0.3
starlette                0.47.3                           1.3.1                                                python          GHSA-82w8-qh3p-5jfq  High        0.4% (32nd)   0.3
python                   3.11.10                          3.10.20, *3.11.15, 3.12.13, 3.13.12, ...             UnknownPackage  CVE-2025-11468       Medium      0.5% (42nd)   0.3
libpixman-1-0            0.40.0-1ubuntu0.22.04.1                                                               deb             CVE-2023-37769       Medium      0.6% (44th)   0.3
libncurses6              6.3-2ubuntu0.1                                                                        deb             CVE-2023-50495       Low         1.0% (57th)   0.3
libncursesw6             6.3-2ubuntu0.1                                                                        deb             CVE-2023-50495       Low         1.0% (57th)   0.3
libtinfo6                6.3-2ubuntu0.1                                                                        deb             CVE-2023-50495       Low         1.0% (57th)   0.3
ncurses-base             6.3-2ubuntu0.1                                                                        deb             CVE-2023-50495       Low         1.0% (57th)   0.3
ncurses-bin              6.3-2ubuntu0.1                                                                        deb             CVE-2023-50495       Low         1.0% (57th)   0.3
libzvbi-common           0.2.35-19                        (won't fix)                                          deb             CVE-2025-2177        Medium      0.6% (44th)   0.3
libzvbi0                 0.2.35-19                        (won't fix)                                          deb             CVE-2025-2177        Medium      0.6% (44th)   0.3
libzvbi-common           0.2.35-19                        (won't fix)                                          deb             CVE-2025-2175        Medium      0.6% (43rd)   0.3
libzvbi0                 0.2.35-19                        (won't fix)                                          deb             CVE-2025-2175        Medium      0.6% (43rd)   0.3
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2025-1594        Medium      0.6% (43rd)   0.3
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-3833        Medium      0.6% (43rd)   0.3
libc-bin                 2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2026-0915        Medium      0.6% (43rd)   0.3
libc-dev-bin             2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2026-0915        Medium      0.6% (43rd)   0.3
libc6                    2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2026-0915        Medium      0.6% (43rd)   0.3
libc6-dev                2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2026-0915        Medium      0.6% (43rd)   0.3
libzvbi-common           0.2.35-19                        (won't fix)                                          deb             CVE-2025-2173        Medium      0.6% (43rd)   0.3
libzvbi0                 0.2.35-19                        (won't fix)                                          deb             CVE-2025-2173        Medium      0.6% (43rd)   0.3
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-36616       Medium      0.6% (43rd)   0.3
libopenjp2-7             2.4.0-6ubuntu0.5                                                                      deb             CVE-2023-39329       Medium      0.6% (43rd)   0.3
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6603        Medium      0.6% (42nd)   0.3
python                   3.11.10                          *3.13.10, 3.14.1, 3.15.0a2                           UnknownPackage  CVE-2025-12781       Medium      0.5% (40th)   0.3
libtiff5                 4.3.0-6ubuntu0.13                                                                     deb             CVE-2026-4775        Medium      0.6% (42nd)   0.3
starlette                0.47.3                           1.1.0                                                python          GHSA-wqp7-x3pw-xc5r  High        0.4% (29th)   0.3
libc-bin                 2.35-0ubuntu3.8                  2.35-0ubuntu3.10                                     deb             CVE-2025-4802        Medium      0.5% (42nd)   0.3
libc-dev-bin             2.35-0ubuntu3.8                  2.35-0ubuntu3.10                                     deb             CVE-2025-4802        Medium      0.5% (42nd)   0.3
libc6                    2.35-0ubuntu3.8                  2.35-0ubuntu3.10                                     deb             CVE-2025-4802        Medium      0.5% (42nd)   0.3
libc6-dev                2.35-0ubuntu3.8                  2.35-0ubuntu3.10                                     deb             CVE-2025-4802        Medium      0.5% (42nd)   0.3
openssl                  3.3.2                            1.0.2zl, 1.1.1zb, 3.0.16, 3.1.8, 3.2.4, *3.3.3, ...  UnknownPackage  CVE-2024-13176       Medium      0.6% (45th)   0.3
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66040       Medium      0.5% (42nd)   0.3
perl-base                5.34.0-3ubuntu1.3                5.34.0-3ubuntu1.4                                    deb             CVE-2024-56406       Medium      0.5% (42nd)   0.3
libssh-4                 0.9.6-2ubuntu0.22.04.7                                                                deb             CVE-2026-59844       Medium      0.5% (41st)   0.3
libssh-gcrypt-4          0.9.6-2ubuntu0.22.04.7                                                                deb             CVE-2026-59844       Medium      0.5% (41st)   0.3
libssh-4                 0.9.6-2ubuntu0.22.04.7                                                                deb             CVE-2026-59843       Medium      0.5% (41st)   0.3
libssh-gcrypt-4          0.9.6-2ubuntu0.22.04.7                                                                deb             CVE-2026-59843       Medium      0.5% (41st)   0.3
gcc-12-base              12.3.0-1ubuntu1~22.04.3                                                               deb             CVE-2022-27943       Low         0.9% (55th)   0.3
libgcc-s1                12.3.0-1ubuntu1~22.04.3                                                               deb             CVE-2022-27943       Low         0.9% (55th)   0.3
libgfortran5             12.3.0-1ubuntu1~22.04.3                                                               deb             CVE-2022-27943       Low         0.9% (55th)   0.3
libgomp1                 12.3.0-1ubuntu1~22.04.3                                                               deb             CVE-2022-27943       Low         0.9% (55th)   0.3
libquadmath0             12.3.0-1ubuntu1~22.04.3                                                               deb             CVE-2022-27943       Low         0.9% (55th)   0.3
libstdc++6               12.3.0-1ubuntu1~22.04.3                                                               deb             CVE-2022-27943       Low         0.9% (55th)   0.3
python                   3.11.10                          *3.13.14, 3.14.6, 3.15.0b2                           UnknownPackage  CVE-2026-3276        Medium      0.5% (38th)   0.3
python                   3.11.10                          3.10.20, *3.11.15, 3.12.13, 3.13.12, ...             UnknownPackage  CVE-2025-15282       Medium      0.5% (38th)   0.3
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64834       Medium      0.5% (41st)   0.3
openssl                  3.3.2                            1.0.2zn, 1.1.1ze, 3.0.19, *3.3.6, 3.4.4, ...         UnknownPackage  CVE-2026-22796       Medium      0.5% (40th)   0.3
libaom3                  3.3.0-1ubuntu0.1                                                                      deb             CVE-2026-56209       Medium      0.5% (40th)   0.3
libsystemd0              249.11-0ubuntu3.12               249.11-0ubuntu3.21                                   deb             CVE-2023-7008        Low         0.8% (54th)   0.3
libudev1                 249.11-0ubuntu3.12               249.11-0ubuntu3.21                                   deb             CVE-2023-7008        Low         0.8% (54th)   0.3
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.21                                    deb             CVE-2025-69421       Low         0.8% (54th)   0.3
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.21                                    deb             CVE-2025-69421       Low         0.8% (54th)   0.3
libslang2                2.3.2-5build4                                                                         deb             CVE-2023-45927       Low         0.8% (54th)   0.3
ffmpeg                   8.0.1                                                                                 UnknownPackage  CVE-2026-30997       High        0.3% (26th)   0.3
python                   3.11.10                          3.10.20, *3.11.15, 3.12.13, 3.13.12, ...             UnknownPackage  CVE-2026-0865        Medium      0.5% (37th)   0.3
libsndfile1              1.0.31-2ubuntu0.2                                                                     deb             CVE-2026-37555       Medium      0.5% (40th)   0.3
libc-bin                 2.35-0ubuntu3.8                                                                       deb             CVE-2026-5450        Medium      0.5% (40th)   0.3
libc-dev-bin             2.35-0ubuntu3.8                                                                       deb             CVE-2026-5450        Medium      0.5% (40th)   0.3
libc6                    2.35-0ubuntu3.8                                                                       deb             CVE-2026-5450        Medium      0.5% (40th)   0.3
libc6-dev                2.35-0ubuntu3.8                                                                       deb             CVE-2026-5450        Medium      0.5% (40th)   0.3
python                   3.11.10                          *3.13.14, 3.14.6, 3.15.0b2                           UnknownPackage  CVE-2026-8328        Medium      0.5% (37th)   0.2
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.23                                    deb             CVE-2026-28387       Low         0.8% (52nd)   0.2
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.23                                    deb             CVE-2026-28387       Low         0.8% (52nd)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-64831       Medium      0.5% (38th)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-50010       Medium      0.5% (38th)   0.2
pip                      24.2                             25.3                                                 python          GHSA-4xh5-x5gv-qwph  Medium      0.4% (35th)   0.2
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-42011       Medium      0.5% (38th)   0.2
libglib2.0-0             2.72.4-0ubuntu2.9                                                                     deb             CVE-2026-58015       Medium      0.5% (37th)   0.2
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.21                                    deb             CVE-2025-69420       Low         0.8% (51st)   0.2
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.21                                    deb             CVE-2025-69420       Low         0.8% (51st)   0.2
wheel                    0.43.0                           0.46.2                                               python          GHSA-8rrh-rw8j-w5fx  High        0.3% (23rd)   0.2
wheel                    0.44.0                           0.46.2                                               python          GHSA-8rrh-rw8j-w5fx  High        0.3% (23rd)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-12706       Medium      0.5% (37th)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-30999       Medium      0.5% (36th)   0.2
setuptools               72.1.0                           83.0.0                                               python          GHSA-h35f-9h28-mq5c  Medium      0.4% (33rd)   0.2
libexpat1                2.4.7-1ubuntu0.7                                                                      deb             CVE-2026-45186       Medium      0.4% (36th)   0.2
python                   3.11.10                          3.10.20, *3.11.15, 3.12.13, 3.13.12, ...             UnknownPackage  CVE-2026-0672        Medium      0.4% (32nd)   0.2
python                   3.11.10                          3.9.24, 3.10.19, *3.11.14, 3.12.12, ...              UnknownPackage  CVE-2025-6069        Medium      0.5% (38th)   0.2
openssl                  3.3.2                            *3.3.6, 3.4.4, 3.5.5, 3.6.1                          UnknownPackage  CVE-2025-66199       Medium      0.4% (32nd)   0.2
libc-bin                 2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2025-15281       Medium      0.4% (35th)   0.2
libc-dev-bin             2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2025-15281       Medium      0.4% (35th)   0.2
libc6                    2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2025-15281       Medium      0.4% (35th)   0.2
libc6-dev                2.35-0ubuntu3.8                  2.35-0ubuntu3.13                                     deb             CVE-2025-15281       Medium      0.4% (35th)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6604        Medium      0.4% (35th)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-6385        Medium      0.4% (35th)   0.2
perl-base                5.34.0-3ubuntu1.3                                                                     deb             CVE-2026-9538        Medium      0.4% (35th)   0.2
libglib2.0-0             2.72.4-0ubuntu2.9                                                                     deb             CVE-2026-58016       Medium      0.4% (35th)   0.2
tar                      1.34+dfsg-1ubuntu0.1.22.04.2     1.34+dfsg-1ubuntu0.1.22.04.4                         deb             CVE-2025-45582       Medium      0.4% (35th)   0.2
perl-base                5.34.0-3ubuntu1.3                                                                     deb             CVE-2026-13221       Medium      0.4% (35th)   0.2
perl-base                5.34.0-3ubuntu1.3                5.34.0-3ubuntu1.7                                    deb             CVE-2026-42496       Medium      0.4% (35th)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2023-6602        Medium      0.4% (35th)   0.2
libslang2                2.3.2-5build4                                                                         deb             CVE-2023-45929       Low         0.7% (49th)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66041       Medium      0.4% (34th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66041       Medium      0.4% (34th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66041       Medium      0.4% (34th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66041       Medium      0.4% (34th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66041       Medium      0.4% (34th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66041       Medium      0.4% (34th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66041       Medium      0.4% (34th)   0.2
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-66039       Medium      0.4% (34th)   0.2
